year,facility,total emissions
2021,Alcoa Intalco Works - Ferndale,9411
2021,Avista Corporation - supplier,1085641
2021,Frito Lay - Vancouver,14349
2017,Georgia-Pacific Consumer Operations LLC - Camas,559482
2017,"Interfor US, Inc. - Port Angeles",40810
2016,Northwest Hardwoods Inc. - Mount Vernon,10017
2014,Ascensus Specialties LLC - Elma,21231
2015,"Solvay Chemicals, Inc. - Longview",47827
2021,Packaging Corporation of America - Wallula,775593
2020,"WestRock CP, LLC - Tacoma",1108691
2015,U.S. Oil & Refining Co. - Tacoma,139259
2013,Michelsen Packaging - Yakima,9810
2020,Sonoco Products - Sumner,11582
2013,The Boeing Company - Renton,19419
2014,Inland Empire Paper Company - Spokane,27841
2019,Owens-Brockway Glass Container Inc Plant #2 - Kalama,22844
2021,Tree Top - Selah Campus,15073
2020,Darigold - Sunnyside,40732
2021,Starbucks Kent Flexible Plant - Kent,12492
2016,Boeing Commercial Airplanes - Everett,76191
2019,REC Solar Grade Silicon - Moses Lake,16403
2012,Puget Sound Energy T&D - statewide,12271
2014,LRI Landfill - Graham,57749
2019,Avista Corporation - WA State DOE Reporting - statewide,5463
2016,Tree Top - Prosser,17640
2014,Georgia-Pacific Gypsum LLC - Tacoma,45663
2013,Washington State University - Pullman,60798
2020,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,152007
2012,Darigold - Lynden,17342
2017,SDS Lumber Company - Bingen,57787
2020,Naval Base Kitsap Bangor - Silverdale,20093
2016,Northwest Pipeline C/S - Goldendale,20352
2018,Cowlitz County Tennant Way Landfill - Longview,20542
2013,Inland Empire Paper Company - Spokane,28038
2016,Packaging Corporation of America - Wallula,806310
2020,CenTrio Energy Seattle LLC - Seattle,63601
2017,Northwest Hardwoods Inc. - Mount Vernon,10531
2018,Simplot Feeders LTD. - Burbank,29517
2015,Grays Harbor Energy Center - Elma,1170621
2018,Puget Sound Energy - Ferndale Generating Station - Ferndale,302529
2019,Northwest Pipeline C/S - Washougal,25817
2013,Georgia-Pacific Consumer Operations LLC - Camas,675348
2015,Central Washington University - Ellensburg,12838
2018,Northwest Pipeline C/S - Sumas,90783
2012,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,146926
2018,"Rainier Veneer, Inc. - Spanaway",18812
2021,Marathon Anacortes Refinery - Anacortes,1296106
2014,Hampton Lumber Mills Washington Inc. - Darrington,93894
2015,J.R. Simplot Company - Othello,87686
2018,Sierra Pacific Industries - Centralia,42446
2016,Avista Corporation - supplier,997947
2013,Washington Potato Company - Warden,31968
2018,Washington Potato Company - Warden,29914
